,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ano,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_metereologico,fator_outro
10,39322,39322,39322,39322,39322,ACIDENTE,-23.6988888889,-46.5616666667,SÃO BERNARDO DO CAMPO,SP,BRASIL,****,26/01/2010,13:50:00,SIM,FINALIZADA,A-030/CENIPA/2011,SIM,2011-07-21,2,1,NÃO,2010,"ATITUDE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",12,7,5,0,0,0
11,39385,39385,39385,39385,39385,INCIDENTE GRAVE,-15.8691666667,-47.9208333333,BRASÍLIA,DF,BRASIL,SBBR,21/02/2010,17:00:00,SIM,FINALIZADA,IG-052/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2010,"DESVIO DE NAVEGAÇÃO,ESQUECIMENTO DO PILOTO",2,0,2,0,0,0
12,39405,39405,39405,39405,39405,ACIDENTE,-17.1044444444,54.4922222222,ITIQUIRA,MT,BRASIL,****,07/02/2010,11:30:00,SIM,FINALIZADA,A-032/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM",3,0,2,0,1,0
13,39487,39487,39487,39487,39487,INCIDENTE GRAVE,-10.290000,-48.357778,PALMAS,TO,BRASIL,SBPJ,26/01/2010,16:50:00,SIM,FINALIZADA,IG-575/CENIPA/2014,SIM,2014-10-13,0,1,NÃO,2010,ESQUECIMENTO DO PILOTO,1,0,1,0,0,0
14,39507,39507,39507,39507,39507,ACIDENTE,-15.5588888889,-54.3047222222,PRIMAVERA DO LESTE,MT,BRASIL,****,11/01/2010,17:00:00,SIM,FINALIZADA,A-016/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2010,"PESSOAL DE APOIO,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
15,39527,39527,39527,39527,39527,ACIDENTE,-13.1066666667,-55.9930555556,LUCAS DO RIO VERDE,MT,BRASIL,****,04/01/2010,17:30:00,SIM,FINALIZADA,A-539/CENIPA/2018,NÃO,,0,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO",4,1,3,0,0,0
16,39687,39687,39687,39687,39687,INCIDENTE GRAVE,-26.2563888889,-50.9963888889,PORTO UNIÃO,SC,BRASIL,****,28/01/2010,10:30:00,NÃO,FINALIZADA,IG-509/CENIPA/2017,SIM,2018-05-17,1,1,NÃO,2010,"FABRICAÇÃO,MANUTENÇÃO DE AERONAVE",2,0,1,1,0,0
17,39707,39707,39707,39707,39707,INCIDENTE GRAVE,-6.5319444444,-64.3805555556,CANUTAMA,AM,BRASIL,****,09/01/2010,12:30:00,SIM,FINALIZADA,IG-028/CENIPA/2011,SIM,2011-07-21,3,1,NÃO,2010,"INDISCIPLINA DE VOO,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO",3,0,3,0,0,0
18,39709,39709,39709,39709,39709,INCIDENTE GRAVE,-25.4033333333,-49.2336111111,CURITIBA,PR,BRASIL,SBBI,23/01/2010,16:36:00,***,FINALIZADA,IG-029/CENIPA/2011,SIM,2011-07-21,2,1,SIM,2010,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
19,39887,39887,39887,39887,39887,ACIDENTE,-19.9091666667,-43.9891666667,BELO HORIZONTE,MG,BRASIL,SBPR,09/03/2010,17:45:00,SIM,FINALIZADA,A-557/CENIPA/2015,SIM,2016-04-07,1,1,SIM,2010,"JULGAMENTO DE PILOTAGEM,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",3,1,2,0,0,0
20,39913,39913,39913,39913,39913,INCIDENTE GRAVE,-9.8691666667,-67.8938888889,CRUZEIRO DO SUL,AC,BRASIL,SBCZ,10/03/2010,06:17:00,SIM,FINALIZADA,IG-131/CENIPA/2011,SIM,2011-12-21,3,1,SIM,2010,"COORDENAÇÃO DE CABINE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
21,39916,39916,39916,39916,39916,INCIDENTE GRAVE,-3.0505555556,-60.0508333333,MANAUS,AM,BRASIL,SBEG,07/03/2010,19:35:00,SIM,FINALIZADA,IG-171/CENIPA/2013,SIM,2013-12-30,2,1,SIM,2010,"COORDENAÇÃO DE CABINE,ESQUECIMENTO DO PILOTO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE",4,0,4,0,0,0
22,39930,39930,39930,39930,39930,INCIDENTE GRAVE,-25.5311111111,-49.1755555556,CURITIBA,PR,BRASIL,SBCT,16/02/2010,16:25:00,SIM,FINALIZADA,IG-170/CENIPA/2013,SIM,2013-12-12,2,1,NÃO,2010,"DIETA INADEQUADA,FADIGA,INSÔNIA,MEDICAMENTO",4,4,0,0,0,0
23,39933,39933,39933,39933,39933,ACIDENTE,-19.9602777778,-43.9094444444,BELO HORIZONTE,MG,BRASIL,****,26/02/2010,11:19:00,SIM,FINALIZADA,A-032/CENIPA/2013,SIM,2013-12-30,1,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",4,1,2,0,1,0
24,39969,39969,39969,39969,39969,INCIDENTE,***,***,SALVADOR,BA,BRASIL,SBSV,09/02/2010,23:50:00,SIM,FINALIZADA,I-033/CENIPA/2011,SIM,2011-07-21,4,1,NÃO,2010,FABRICAÇÃO,1,0,0,1,0,0
25,39992,39992,39992,39992,39992,ACIDENTE,-20.5069444444,-46.6341666667,SÃO PAULO,SP,BRASIL,SBMT,17/02/2010,20:07:00,SIM,FINALIZADA,A-032/CENIPA/2012,SIM,2012-03-22,11,1,SIM,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",4,0,3,0,1,0
26,39993,39993,39993,39993,39993,INCIDENTE GRAVE,-23.33028,-51.13667,LONDRINA,PR,BRASIL,SBLO,11/03/2010,12:30:00,SIM,FINALIZADA,I-053/CENIPA/2011,SIM,2011-08-01,2,1,NÃO,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",3,0,2,0,1,0
27,40069,40069,40069,40069,40069,ACIDENTE,-23.5069444444,-46.6341666667,SÃO PAULO,SP,BRASIL,SBMT,10/01/2010,14:50:00,SIM,FINALIZADA,A-121/CENIPA/2012,SIM,2012-11-19,8,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CULTURA ORGANIZACIONAL,ESQUECIMENTO DO PILOTO,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,MEMÓRIA,MOTIVAÇÃO,ORGANIZAÇÃO DO TRABALHO,PLANEJAMENTO GERENCIAL,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,SISTEMAS DE APOIO,SUPERVISÃO GERENCIAL",14,8,6,0,0,0
28,40087,40087,40087,40087,40087,ACIDENTE,-16.3625,-48.9280555556,ANÁPOLIS,GO,BRASIL,SWNS,26/03/2010,10:45:00,SIM,FINALIZADA,A-082/CENIPA/2011,SIM,2011-09-23,4,1,NÃO,2010,"INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0
29,40088,40088,40088,40088,40088,ACIDENTE,-4.5880555556,-60.1722222222,UIRAMUTÃ,RR,BRASIL,****,19/03/2010,13:10:00,SIM,FINALIZADA,A-034/CENIPA/2011,SIM,2011-07-21,3,1,SIM,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",4,0,3,0,1,0
30,40107,40107,40107,40107,40107,ACIDENTE,-1.4169444444,-51.6338888889,GURUPÁ,PA,BRASIL,SNGU,12/01/2010,14:30:00,SIM,FINALIZADA,A-505/CENIPA/2016,SIM,2016-03-18,0,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0
31,40147,40147,40147,40147,40147,ACIDENTE,-26.2316666667,-51.0688888889,UNIÃO DA VITÓRIA,PR,BRASIL,SSUV,08/04/2010,14:20:00,SIM,FINALIZADA,A-016/CENIPA/2012,SIM,2012-02-22,3,1,SIM,2010,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",5,0,4,0,1,0
32,40148,40148,40148,40148,40148,ACIDENTE,-20.5125,-54.5363888889,CAMPO GRANDE,MS,BRASIL,****,19/03/2010,19:30:00,SIM,FINALIZADA,A-054/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO",5,0,5,0,0,0
33,40149,40149,40149,40149,40149,ACIDENTE,-16.26222,-47.97000,LUZIÂNIA,GO,BRASIL,SWUZ,21/03/2010,20:45:00,SIM,FINALIZADA,A-068/CENIPA/2011,SIM,2011-08-29,2,1,NÃO,2010,"INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0
34,40150,40150,40150,40150,40150,INCIDENTE GRAVE,-29.71083,-53.69222,SANTA MARIA,RS,BRASIL,SBSM,10/03/2010,17:20:00,SIM,FINALIZADA,IG-524/CENIPA/2017,SIM,2017-11-30,0,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
35,40171,40171,40171,40171,40171,ACIDENTE,-10.7275,-48.3336111111,PORTO NACIONAL,TO,BRASIL,SBPN,07/04/2010,18:45:00,SIM,FINALIZADA,A-012/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
36,40214,40214,40214,40214,40214,ACIDENTE,-7.9591666667,-53.2669444444,REDENÇÃO,PA,BRASIL,****,12/04/2010,19:30:00,SIM,FINALIZADA,A-069/CENIPA/2011,SIM,2011-08-29,1,1,NÃO,2010,"COORDENAÇÃO DE CABINE,INDISCIPLINA DE VOO,INFLUÊNCIA DO MEIO AMBIENTE,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO,PLANEJAMENTO GERENCIAL,SUPERVISÃO GERENCIAL",8,1,7,0,0,0
37,40264,40264,40264,40264,40264,ACIDENTE,-15.3105555556,-54.8991666667,CAMPO VERDE,MT,BRASIL,SWOZ,20/04/2010,16:30:00,SIM,FINALIZADA,A-033/CENIPA/2012,SIM,2012-03-22,2,1,NÃO,2010,"ATITUDE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,INFLUÊNCIA DO MEIO AMBIENTE,PERCEPÇÃO,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",7,5,2,0,0,0
38,40267,40267,40267,40267,40267,INCIDENTE GRAVE,-13.0213888889,-38.6811111111,VERA CRUZ,BA,BRASIL,SNVR,04/04/2010,11:00:00,SIM,FINALIZADA,IG-580/CENIPA/2016,SIM,2018-12-04,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",3,1,2,0,0,0
39,40269,40269,40269,40269,40269,INCIDENTE GRAVE,-16.36250,-48.91139,ANÁPOLIS,GO,BRASIL,SWNS,07/04/2010,19:30:00,SIM,FINALIZADA,IG-533/CENIPA/2018,NÃO,,1,1,SIM,2010,"MANUTENÇÃO DE AERONAVE,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",3,1,2,0,0,0
40,40270,40270,40270,40270,40270,INCIDENTE GRAVE,,,PIRASSUNUNGA,SP,BRASIL,SDPY,15/04/2010,20:15:00,,ATIVA,A DEFINIR,NÃO,,0,1,NÃO,2010,"COORDENAÇÃO DE CABINE,JULGAMENTO DE PILOTAGEM,PESSOAL DE APOIO,SUPERVISÃO GERENCIAL",4,0,4,0,0,0
41,40271,40271,40271,40271,40271,ACIDENTE,-8.0958333333,-34.8916666667,RECIFE,PE,BRASIL,SNEM,21/04/2010,11:27:00,SIM,FINALIZADA,A-018/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,ATITUDE,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,RELAÇÕES INTERPESSOAIS,SUPERVISÃO GERENCIAL",9,5,4,0,0,0
42,40316,40316,40316,40316,40316,INCIDENTE GRAVE,-19.76083,-42.63873,TIMÓTEO,MG,BRASIL,****,26/02/2010,14:40:00,SIM,FINALIZADA,IG-053/CENIPA/2013,SIM,2013-11-12,3,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
43,40328,40328,40328,40328,40328,ACIDENTE,-13.40194,-46.08806,CORRENTINA,BA,BRASIL,****,15/04/2010,17:25:00,SIM,FINALIZADA,A-581/CENIPA/2016,SIM,2019-08-06,0,1,NÃO,2010,"INFRAESTRUTURA AEROPORTUÁRIA,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",5,1,4,0,0,0
44,40350,40350,40350,40350,40350,INCIDENTE GRAVE,-3.442222,-60.35139,UIRAMUTÃ,RR,BRASIL,****,17/04/2010,20:30:00,SIM,FINALIZADA,I-035/CENIPA/2011,SIM,2016-04-29,0,1,NÃO,2010,"JULGAMENTO DE PILOTAGEM,OUTRO FATOR,SUPERVISÃO GERENCIAL",3,0,2,0,0,1
45,40554,40554,40554,40554,40554,ACIDENTE,-22.4761111111,-44.4711111111,RESENDE,RJ,BRASIL,****,27/04/2010,18:47:00,SIM,FINALIZADA,A-114/CENIPA/2012,SIM,2012-10-17,8,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,ATITUDE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,ESTADO EMOCIONAL,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PLANEJAMENTO DE VOO,SISTEMAS DE APOIO,SUPERVISÃO GERENCIAL",13,7,6,0,0,0
46,40572,40572,40572,40572,40572,ACIDENTE,-29.9938888889,-51.1711111111,PORTO ALEGRE,RS,BRASIL,SBPA,28/04/2010,14:10:00,SIM,FINALIZADA,A-528/CENIPA/2015,SIM,2015-06-06,0,1,NÃO,2010,"COMUNICAÇÃO,PERCEPÇÃO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSOS ORGANIZACIONAIS",4,3,1,0,0,0
47,40573,40573,40573,40573,40573,INCIDENTE GRAVE,-52.3822222222,-40.1294444444,ITAPETINGA,BA,BRASIL,****,01/05/2010,15:40:00,SIM,FINALIZADA,IG-070/CENIPA/2011,SIM,2011-08-29,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
48,40583,40583,40583,40583,40583,INCIDENTE,-12.90861,-38.32250,SALVADOR,BA,BRASIL,SBSV,30/04/2010,16:35:00,SIM,FINALIZADA,I-019/CENIPA/2011,SIM,2011-06-30,1,1,NÃO,2010,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0
49,40621,40621,40621,40621,40621,INCIDENTE GRAVE,-21.83778,-46.56611,POÇOS DE CALDAS,MG,BRASIL,SBPC,05/05/2010,21:05:00,SIM,FINALIZADA,IG-546/CENIPA/2017,SIM,2018-05-10,0,1,NÃO,2010,"INFRAESTRUTURA AEROPORTUÁRIA,MANUTENÇÃO DE AERONAVE",2,0,2,0,0,0
50,40732,40732,40732,40732,40732,INCIDENTE GRAVE,-12.7425,-38.1516666667,CAMAÇARI,BA,BRASIL,****,08/05/2010,15:05:00,SIM,FINALIZADA,IG-582/CENIPA/2016,SIM,2016-12-01,5,1,NÃO,2010,"ATITUDE,COORDENAÇÃO DE CABINE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,DINÂMICA DE EQUIPE,ESQUECIMENTO DO PILOTO,MANUTENÇÃO DE AERONAVE,PERCEPÇÃO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",10,6,4,0,0,0
51,40793,40793,40793,40793,40793,ACIDENTE,-10.7275,-48.3336111111,PORTO NACIONAL,TO,BRASIL,SBPN,07/05/2010,16:41:00,SIM,FINALIZADA,A-071/CENIPA/2011,SIM,2011-08-29,3,1,SIM,2010,"CULTURA ORGANIZACIONAL,ESTADO EMOCIONAL,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PERCEPÇÃO,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",7,4,3,0,0,0
52,40855,40855,40855,40855,40855,ACIDENTE,-3.0808333333,3.0808333333,MANAUS,AM,BRASIL,****,13/05/2010,18:58:00,SIM,FINALIZADA,A-044/CENIPA/2011,SIM,2011-08-01,4,1,NÃO,2010,"ATITUDE,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,OUTRO FATOR,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS",10,4,5,0,0,1
53,41053,41053,41053,41053,41053,ACIDENTE,-25.0022222222,-53.5019444444,CASCAVEL,PR,BRASIL,SBCA,19/05/2010,08:10:00,SIM,FINALIZADA,A-034/CENIPA/2012,SIM,2012-03-22,2,1,NÃO,2010,"ATITUDE,CONDIÇÕES FÍSICAS DO TRABALHO,COORDENAÇÃO DE CABINE,CULTURA ORGANIZACIONAL,DINÂMICA DE EQUIPE,FADIGA,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,ILUSÕES VISUAIS,INDISCIPLINA DE VOO,INFLUÊNCIA DO MEIO AMBIENTE,INSTRUÇÃO,MOTIVAÇÃO,ORGANIZAÇÃO DO TRABALHO,OUTRO FATOR,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",19,12,6,0,0,1
54,41155,41155,41155,41155,41155,ACIDENTE,-23.3316666667,-46.9436111111,JUNDIAÍ,SP,BRASIL,SBJD,20/05/2010,19:35:00,SIM,FINALIZADA,A-070/CENIPA/2012,SIM,2012-07-03,5,1,SIM,2010,"APLICAÇÃO DE COMANDOS,COORDENAÇÃO DE CABINE,ESQUECIMENTO DO PILOTO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,OUTRO FATOR",6,0,5,0,0,1
55,41179,41179,41179,41179,41179,INCIDENTE GRAVE,-15.8691666667,-47.9208333333,BRASÍLIA,DF,BRASIL,SBBR,20/05/2010,22:20:00,SIM,FINALIZADA,IG-010/CENIPA/2013,SIM,2013-09-22,8,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0
56,41236,41236,41236,41236,41236,ACIDENTE,-10.2680555556,-36.3066666667,FELIZ DESERTO,AL,BRASIL,SNUZ,29/05/2010,09:55:00,SIM,FINALIZADA,A-062/CENIPA/2013,SIM,2013-12-30,3,1,NÃO,2010,"ATENÇÃO,ATITUDE,CARACTERÍSTICAS DA TAREFA,MEDICAMENTO,PERCEPÇÃO,SUPERVISÃO GERENCIAL",6,5,1,0,0,0
57,41374,41374,41374,41374,41374,ACIDENTE,-13.3763888889,-46.135,CORRENTINA,BA,BRASIL,****,26/05/2010,14:00:00,SIM,FINALIZADA,A-072/CENIPA/2011,SIM,2011-08-29,9,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,OUTRO FATOR,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO,RELAÇÕES INTERPESSOAIS",7,2,4,0,0,1
58,41411,41411,41411,41411,41411,INCIDENTE GRAVE,-23.5069444444,-46.6341666667,SÃO PAULO,SP,BRASIL,SBMT,08/06/2010,19:30:00,SIM,FINALIZADA,IG-020/CENIPA/2011,SIM,2011-06-30,2,1,SIM,2010,"APLICAÇÃO DE COMANDOS,COORDENAÇÃO DE CABINE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,POUCA EXPERIÊNCIA DO PILOTO,SUPERVISÃO GERENCIAL",6,0,6,0,0,0
59,41480,41480,41480,41480,41480,INCIDENTE,-25.53167,-49.17611,SÃO JOSÉ DOS PINHAIS,PR,BRASIL,SBCT,08/06/2010,23:07:00,SIM,FINALIZADA,I-095/CENIPA/2011,SIM,2011-11-04,1,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,POUCA EXPERIÊNCIA DO PILOTO,SUPERVISÃO GERENCIAL",5,0,5,0,0,0
