,Unnamed: 0,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ano,fator_nome,total_fatores,fator_humano,fator_operacional,fator_material,fator_metereologico,fator_outro,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
10,10,39322,39322,39322,39322,39322,ACIDENTE,-23.6988888889,-46.5616666667,SÃO BERNARDO DO CAMPO,SP,BRASIL,****,26/01/2010,13:50:00,SIM,FINALIZADA,A-030/CENIPA/2011,SIM,2011-07-21,2,1,NÃO,2010,"ATITUDE,CULTURA DO GRUPO DE TRABALHO,CULTURA ORGANIZACIONAL,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM,MOTIVAÇÃO,PERCEPÇÃO,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO,PROCESSOS ORGANIZACIONAIS,SUPERVISÃO GERENCIAL",12,7,5,0,0,0,ESPECIALIZADA,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,PISTÃO,MONOMOTOR,4.0,1997.0,BRASIL,BRASIL,ESPECIALIZADA,MERCEDES-BENZ DO BRASIL LTDA,FORA DE AERODROMO,DECOLAGEM,ESPECIALIZADA,SUBSTANCIAL,0
11,11,39385,39385,39385,39385,39385,INCIDENTE GRAVE,-15.8691666667,-47.9208333333,BRASÍLIA,DF,BRASIL,SBBR,21/02/2010,17:00:00,SIM,FINALIZADA,IG-052/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2010,"DESVIO DE NAVEGAÇÃO,ESQUECIMENTO DO PILOTO",2,0,2,0,0,0,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,4.0,1976.0,BRASIL,BRASIL,PARTICULAR,NELSON RODRIGUES GUIMARÃES,PRESIDENTE JUSCELINO KUBITSCHEK,POUSO,PRIVADA,SUBSTANCIAL,0
12,12,39405,39405,39405,39405,39405,ACIDENTE,-17.1044444444,54.4922222222,ITIQUIRA,MT,BRASIL,****,07/02/2010,11:30:00,SIM,FINALIZADA,A-032/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM",3,0,2,0,1,0,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1.0,2000.0,BRASIL,BRASIL,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
13,13,39487,39487,39487,39487,39487,INCIDENTE GRAVE,-10.290000,-48.357778,PALMAS,TO,BRASIL,SBPJ,26/01/2010,16:50:00,SIM,FINALIZADA,IG-575/CENIPA/2014,SIM,2014-10-13,0,1,NÃO,2010,ESQUECIMENTO DO PILOTO,1,0,1,0,0,0,PARTICULAR,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,4.0,1994.0,BRASIL,BRASIL,PARTICULAR,SANTA GENOVEVA/GOIÂNIA,BRIGADEIRO LYSIAS RODRIGUES,POUSO,PRIVADA,SUBSTANCIAL,0
14,14,39507,39507,39507,39507,39507,ACIDENTE,-15.5588888889,-54.3047222222,PRIMAVERA DO LESTE,MT,BRASIL,****,11/01/2010,17:00:00,SIM,FINALIZADA,A-016/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2010,"PESSOAL DE APOIO,SUPERVISÃO GERENCIAL",2,0,2,0,0,0,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2005.0,BRASIL,BRASIL,AGRÍCOLA,C.T.O. ITAÚ,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
15,15,39527,39527,39527,39527,39527,ACIDENTE,-13.1066666667,-55.9930555556,LUCAS DO RIO VERDE,MT,BRASIL,****,04/01/2010,17:30:00,SIM,FINALIZADA,A-539/CENIPA/2018,NÃO,,0,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,PROCESSO DECISÓRIO",4,1,3,0,0,0,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1.0,2004.0,BRASIL,BRASIL,PARTICULAR,FAZENDA IRMÃOS MUNARETTO,FAZENDA IRMÃOS MUNARETTO,VOO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0
16,16,39687,39687,39687,39687,39687,INCIDENTE GRAVE,-26.2563888889,-50.9963888889,PORTO UNIÃO,SC,BRASIL,****,28/01/2010,10:30:00,NÃO,FINALIZADA,IG-509/CENIPA/2017,SIM,2018-05-17,1,1,NÃO,2010,"FABRICAÇÃO,MANUTENÇÃO DE AERONAVE",2,0,1,1,0,0,***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1.0,2003.0,BRASIL,BRASIL,ESPECIALIZADA,SANTA TEREZINHA,COMANDANTE ANTONIO AMILTON BERALDO,ESPECIALIZADA,ESPECIALIZADA,NENHUM,0
17,17,39707,39707,39707,39707,39707,INCIDENTE GRAVE,-6.5319444444,-64.3805555556,CANUTAMA,AM,BRASIL,****,09/01/2010,12:30:00,SIM,FINALIZADA,IG-028/CENIPA/2011,SIM,2011-07-21,3,1,NÃO,2010,"INDISCIPLINA DE VOO,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO",3,0,3,0,0,0,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1979.0,BRASIL,BRASIL,PARTICULAR,EDUARDO GOMES,LÁBREA,CRUZEIRO,PRIVADA,LEVE,0
18,18,39709,39709,39709,39709,39709,INCIDENTE GRAVE,-25.4033333333,-49.2336111111,CURITIBA,PR,BRASIL,SBBI,23/01/2010,16:36:00,***,FINALIZADA,IG-029/CENIPA/2011,SIM,2011-07-21,2,1,SIM,2010,MANUTENÇÃO DE AERONAVE,1,0,1,0,0,0,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-31T1,PAY1,TURBOÉLICE,BIMOTOR,7.0,1980.0,BRASIL,BRASIL,PARTICULAR,MINISTRO VICTOR KONDER,BACACHERI,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
19,19,39887,39887,39887,39887,39887,ACIDENTE,-19.9091666667,-43.9891666667,BELO HORIZONTE,MG,BRASIL,SBPR,09/03/2010,17:45:00,SIM,FINALIZADA,A-557/CENIPA/2015,SIM,2016-04-07,1,1,SIM,2010,"JULGAMENTO DE PILOTAGEM,PROCESSO DECISÓRIO,SUPERVISÃO GERENCIAL",3,1,2,0,0,0,INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,4.0,1982.0,BRASIL,BRASIL,INSTRUÇÃO,CARLOS PRATES,CARLOS PRATES,SUBIDA,INSTRUÇÃO,SUBSTANCIAL,0
20,20,39913,39913,39913,39913,39913,INCIDENTE GRAVE,-9.8691666667,-67.8938888889,CRUZEIRO DO SUL,AC,BRASIL,SBCZ,10/03/2010,06:17:00,SIM,FINALIZADA,IG-131/CENIPA/2011,SIM,2011-12-21,3,1,SIM,2010,"COORDENAÇÃO DE CABINE,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,11.0,1993.0,BRASIL,BRASIL,TÁXI AÉREO,PLÁCIDO DE CASTRO,CRUZEIRO DO SUL,DECOLAGEM,TÁXI AÉREO,NENHUM,0
21,21,39916,39916,39916,39916,39916,INCIDENTE GRAVE,-3.0505555556,-60.0508333333,MANAUS,AM,BRASIL,SBEG,07/03/2010,19:35:00,SIM,FINALIZADA,IG-171/CENIPA/2013,SIM,2013-12-30,2,1,SIM,2010,"COORDENAÇÃO DE CABINE,ESQUECIMENTO DO PILOTO,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE",4,0,4,0,0,0,TÁXI AÉREO,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,10.0,1981.0,BRASIL,BRASIL,TÁXI AÉREO,EDUARDO GOMES,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0
22,22,39930,39930,39930,39930,39930,INCIDENTE GRAVE,-25.5311111111,-49.1755555556,CURITIBA,PR,BRASIL,SBCT,16/02/2010,16:25:00,SIM,FINALIZADA,IG-170/CENIPA/2013,SIM,2013-12-12,2,1,NÃO,2010,"DIETA INADEQUADA,FADIGA,INSÔNIA,MEDICAMENTO",4,4,0,0,0,0,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,550,C550,JATO,BIMOTOR,7.0,1991.0,BRASIL,BRASIL,TÁXI AÉREO,AEROPUERTO INTERNACIONAL MINISTRO PISTARINI,AFONSO PENA,CRUZEIRO,TÁXI AÉREO,NENHUM,0
23,23,39933,39933,39933,39933,39933,ACIDENTE,-19.9602777778,-43.9094444444,BELO HORIZONTE,MG,BRASIL,****,26/02/2010,11:19:00,SIM,FINALIZADA,A-032/CENIPA/2013,SIM,2013-12-30,1,1,NÃO,2010,"ATITUDE,CONDIÇÕES METEOROLÓGICAS ADVERSAS,INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",4,1,2,0,1,0,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,6.0,1976.0,BRASIL,BRASIL,PARTICULAR,DOUTOR RAMALHO FRANCO,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DESCIDA,PRIVADA,DESTRUÍDA,2
24,24,39969,39969,39969,39969,39969,INCIDENTE,***,***,SALVADOR,BA,BRASIL,SBSV,09/02/2010,23:50:00,SIM,FINALIZADA,I-033/CENIPA/2011,SIM,2011-07-21,4,1,NÃO,2010,FABRICAÇÃO,1,0,0,1,0,0,REGULAR,AVIÃO,BOEING COMPANY,737-7EH,B737,JATO,BIMOTOR,154.0,2009.0,BRASIL,BRASIL,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,ANTONIO CARLOS JOBIM / GALEÃO,SUBIDA,REGULAR,NENHUM,0
25,25,39992,39992,39992,39992,39992,ACIDENTE,-20.5069444444,-46.6341666667,SÃO PAULO,SP,BRASIL,SBMT,17/02/2010,20:07:00,SIM,FINALIZADA,A-032/CENIPA/2012,SIM,2012-03-22,11,1,SIM,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",4,0,3,0,1,0,PARTICULAR,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,6.0,2009.0,BRASIL,BRASIL,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,CAMPO DE MARTE,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
26,26,39993,39993,39993,39993,39993,INCIDENTE GRAVE,-23.33028,-51.13667,LONDRINA,PR,BRASIL,SBLO,11/03/2010,12:30:00,SIM,FINALIZADA,I-053/CENIPA/2011,SIM,2011-08-01,2,1,NÃO,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",3,0,2,0,1,0,***,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,2.0,1969.0,BRASIL,BRASIL,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,LEVE,0
27,27,40069,40069,40069,40069,40069,ACIDENTE,-23.5069444444,-46.6341666667,SÃO PAULO,SP,BRASIL,SBMT,10/01/2010,14:50:00,SIM,FINALIZADA,A-121/CENIPA/2012,SIM,2012-11-19,8,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,CULTURA ORGANIZACIONAL,ESQUECIMENTO DO PILOTO,FORMAÇÃO, CAPACITAÇÃO E TREINAMENTO,INSTRUÇÃO,MEMÓRIA,MOTIVAÇÃO,ORGANIZAÇÃO DO TRABALHO,PLANEJAMENTO GERENCIAL,POUCA EXPERIÊNCIA DO PILOTO,PROCESSO DECISÓRIO,PROCESSOS ORGANIZACIONAIS,SISTEMAS DE APOIO,SUPERVISÃO GERENCIAL",14,8,6,0,0,0,PARTICULAR,HELICÓPTERO,HELIBRAS,AS 350 B3,AS50,TURBOEIXO,MONOMOTOR,7.0,1999.0,BRASIL,BRASIL,PARTICULAR,FORA DE AERODROMO,UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO,PARTIDA DO MOTOR,PRIVADA,DESTRUÍDA,0
28,28,40087,40087,40087,40087,40087,ACIDENTE,-16.3625,-48.9280555556,ANÁPOLIS,GO,BRASIL,SWNS,26/03/2010,10:45:00,SIM,FINALIZADA,A-082/CENIPA/2011,SIM,2011-09-23,4,1,NÃO,2010,"INDISCIPLINA DE VOO,INSTRUÇÃO,JULGAMENTO DE PILOTAGEM",3,0,3,0,0,0,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,210H,C210,PISTÃO,MONOMOTOR,4.0,1969.0,BRASIL,BRASIL,PARTICULAR,ANÁPOLIS,FAZENDA SÃO LUIZ,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
29,29,40088,40088,40088,40088,40088,ACIDENTE,-4.5880555556,-60.1722222222,UIRAMUTÃ,RR,BRASIL,****,19/03/2010,13:10:00,SIM,FINALIZADA,A-034/CENIPA/2011,SIM,2011-07-21,3,1,SIM,2010,"CONDIÇÕES METEOROLÓGICAS ADVERSAS,JULGAMENTO DE PILOTAGEM,PLANEJAMENTO DE VOO,SUPERVISÃO GERENCIAL",4,0,3,0,1,0,ADMINISTRAÇÃO DIRETA,AVIÃO,BEECH AIRCRAFT,E55,BE55,PISTÃO,BIMOTOR,6.0,1974.0,BRASIL,BRASIL,ADMINISTRAÇÃO DIRETA,ATLAS BRASIL CANTANHEDE,SERRA DO SOL,POUSO,NÃO REGULAR,SUBSTANCIAL,0
30,30,40107,40107,40107,40107,40107,ACIDENTE,-1.4169444444,-51.6338888889,GURUPÁ,PA,BRASIL,SNGU,12/01/2010,14:30:00,SIM,FINALIZADA,A-505/CENIPA/2016,SIM,2016-03-18,0,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,INDISCIPLINA DE VOO,SUPERVISÃO GERENCIAL",3,0,3,0,0,0,TÁXI AÉREO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,7.0,1977.0,BRASIL,BRASIL,TÁXI AÉREO,BREVES,GURUPÁ,POUSO,TÁXI AÉREO,LEVE,0
31,31,40147,40147,40147,40147,40147,ACIDENTE,-26.2316666667,-51.0688888889,UNIÃO DA VITÓRIA,PR,BRASIL,SSUV,08/04/2010,14:20:00,SIM,FINALIZADA,A-016/CENIPA/2012,SIM,2012-02-22,3,1,SIM,2010,"APLICAÇÃO DE COMANDOS,CONDIÇÕES METEOROLÓGICAS ADVERSAS,INFRAESTRUTURA AEROPORTUÁRIA,MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",5,0,4,0,1,0,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,6.0,1997.0,BRASIL,BRASIL,PARTICULAR,BACACHERI,JOSÉ CLETO,POUSO,PRIVADA,SUBSTANCIAL,0
32,32,40148,40148,40148,40148,40148,ACIDENTE,-20.5125,-54.5363888889,CAMPO GRANDE,MS,BRASIL,****,19/03/2010,19:30:00,SIM,FINALIZADA,A-054/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2010,"APLICAÇÃO DE COMANDOS,JULGAMENTO DE PILOTAGEM,MANUTENÇÃO DE AERONAVE,PLANEJAMENTO DE VOO,POUCA EXPERIÊNCIA DO PILOTO",5,0,5,0,0,0,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,185,C185,PISTÃO,MONOMOTOR,6.0,1962.0,BRASIL,BRASIL,PARTICULAR,FORA DE AERODROMO,ESTÂNCIA SANTA MARIA,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
33,33,40149,40149,40149,40149,40149,ACIDENTE,-16.26222,-47.97000,LUZIÂNIA,GO,BRASIL,SWUZ,21/03/2010,20:45:00,SIM,FINALIZADA,A-068/CENIPA/2011,SIM,2011-08-29,2,1,NÃO,2010,"INDISCIPLINA DE VOO,JULGAMENTO DE PILOTAGEM",2,0,2,0,0,0,INSTRUÇÃO,AVIÃO,XAVANTE,A-122-B,A122,PISTÃO,MONOMOTOR,2.0,1974.0,BRASIL,BRASIL,INSTRUÇÃO,BRIGADEIRO ARARIPE MACEDO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,DESTRUÍDA,0
34,34,40150,40150,40150,40150,40150,INCIDENTE GRAVE,-29.71083,-53.69222,SANTA MARIA,RS,BRASIL,SBSM,10/03/2010,17:20:00,SIM,FINALIZADA,IG-524/CENIPA/2017,SIM,2017-11-30,0,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0,***,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,6.0,1974.0,BRASIL,BRASIL,ADMINISTRAÇÃO DIRETA,SALGADO FILHO,ITAQUI,POUSO,POLICIAL,LEVE,0
35,35,40171,40171,40171,40171,40171,ACIDENTE,-10.7275,-48.3336111111,PORTO NACIONAL,TO,BRASIL,SBPN,07/04/2010,18:45:00,SIM,FINALIZADA,A-012/CENIPA/2011,SIM,2011-05-18,2,1,NÃO,2010,"MANUTENÇÃO DE AERONAVE,SUPERVISÃO GERENCIAL",2,0,2,0,0,0,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,2.0,1991.0,BRASIL,BRASIL,INSTRUÇÃO,PORTO NACIONAL,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
